;;MTRL-0321;;;;;;;;
Tipo: Relatório de chamadas;;;;;;;;;;
Chamadas atendidas: De 01/03/2021 10:14:00 Para 31/03/2021 11:14:00;;;;;;;;;;
ID da chamada: Ramais no intervalo '0098-0099';;;;;;;;;;
Destino: Qualquer número;;;;;;;;;;
Duração da chamada;ID da chamada;;Destino;Status;Tocando;Falando;Totais;Custo;Razão;Play
24/03/2021 13:46;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61933E+11;Atendida;00:00:25;00:00:43;00:01:08;0,72;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:48;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:22;00:00:42;00:01:04;0,7;Terminado por 02619993948486;
24/03/2021 13:51;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:22;00:00:17;00:00:39;0,28;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:52;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:14;00:01:05;00:01:19;1,08;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:54;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:14;00:01:29;00:01:43;1,48;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:56;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:15;00:00:05;00:00:20;0,08;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:57;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:30;00:01:13;00:01:43;1,22;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:03;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,62E+12;Atendida;00:00:19;00:00:04;00:00:23;0,07;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:04;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,62E+12;Atendida;00:00:10;00:00:31;00:00:41;0,52;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:04;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:28;00:01:12;00:01:40;1,2;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:07;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:13;00:00:37;00:00:50;0,62;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:08;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:08;00:00:05;00:00:13;0,08;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:09;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:18;00:00:03;00:00:21;0,05;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:08;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:42;00:00:04;00:00:46;0,07;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:09;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,62E+12;Atendida;00:00:42;00:00:02;00:00:44;0,03;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:11;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:37;00:00:10;00:00:47;0,17;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:13;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:18;00:00:25;00:00:43;0,42;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:14;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:24;00:00:49;00:01:13;0,82;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:15;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:16;00:01:00;00:01:16;1;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:16;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:38;00:00:15;00:00:53;0,25;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:17;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:25;00:00:07;00:00:32;0,12;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:17;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:37;00:00:09;00:00:46;0,15;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:19;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:13;00:00:29;00:00:42;0,48;Terminado por 02619988206819;
24/03/2021 14:18;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61997E+12;Atendida;00:00:17;00:00:45;00:01:02;0,75;Terminado por 02619974024229;
24/03/2021 14:20;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,62E+12;Atendida;00:00:11;00:00:04;00:00:15;0,07;Terminado por 02619997730882;
24/03/2021 14:20;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:10;00:00:15;00:00:25;0,25;Terminado por 02619988206819;
24/03/2021 14:21;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,62E+12;Atendida;00:00:09;00:00:32;00:00:41;0,53;Terminado por 02619997730882;
24/03/2021 14:22;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:26;00:00:02;00:00:28;0,03;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:21;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:17;00:00:56;00:01:13;0,93;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:24;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:14;00:00:00;00:00:14;0;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:25;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:14;00:00:38;00:00:52;0,63;Terminado por 02619991564357;
24/03/2021 14:27;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:15;00:00:33;00:00:48;0,55;Terminado por 02619993890543;
24/03/2021 14:28;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:15;00:00:13;00:00:28;0,22;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:28;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:43;00:00:22;00:01:05;0,37;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:29;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:09;00:01:58;00:02:07;1,97;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:31;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:14;00:00:36;00:00:50;0,6;Terminado por 02619983608025;
24/03/2021 14:32;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:44;00:00:14;00:00:58;0,23;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:33;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:13;00:01:30;00:01:43;1,5;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:34;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:15;00:01:00;00:01:15;1;Terminado por 02619987302272;
24/03/2021 14:36;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:40;00:00:10;00:00:50;0,17;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 14:37;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:20;00:00:38;00:00:58;0,63;Terminado por 02619994787885;
24/03/2021 14:38;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:18;00:00:30;00:00:48;0,5;Terminado por 02619983156259;
24/03/2021 14:39;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:15;00:00:04;00:00:19;0,07;Terminado por 02619982530654;
24/03/2021 14:40;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:40;00:00:11;00:00:51;0,18;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
